Feature	B202	B206	B207	B209	B211	B215	B220	B222	B223	B226	B228	B230	B231	B232	B233	B237	B240	B246	B253	B255	B256	B259	B261	B267	B268	B269	B272	B274	B275	B276	B277	B278	B279	B281	B282	B284	B285	B288	B289	B291	B296	B298	B299	B302	B309	B312	B313	B314	B315	C411	C417	C418	C420	C422	C424	C427	C428	C430	C435	C436	C437	C442	C446	C452	C455	C459	C460	C463	C466	C468	C473	C474	C475	C476	C478	C479	C480	C482	C484	C494	C496	C497	C498	C501	C502	C504	C505	C506	C507	D603	D605	D606	D607	D608	D609	D610	D611	D612	D614	D615	D616	D618	D619	D620	D621	D624	D627	D629	D631	D632	D633	D635	D636	D640	D641	D643	D645	D646	D648
2,3-Diaminopropionic acid	0.000783377972821485	0.00113744291458372	0.000589270503740837	0.000573868990300466	0.00138131162721825	0.000807156573039195	0.000478178789136543	0.000442286772993881	0.00183368731138807	0.00238918115063495	0.000413040515144131	0.000387800268900706	0.000523120714987443	0.000762534930454273	0.00126389414633746	0.000388857067418872	0.000242284627742995	0.000539636867559082	0.000529207490614505	0.000660629103883046	0.000979473660239197	0.000945848293500509	0.0014334425736028	0.000455811263141893	0.000467197735523722	0.000703933616244254	0.000182061647894594	0.00171822388342653	0.000229601301931222	0.000316849150654167	0.0003110886297728	0.00136165132357955	0.000137057214397093	0.000616773304201074	0.000189962134847661	0.00114954222354803	0.00034016370718572	0.000367878876615632	0.000717455501018309	0.000248237636896851	0.000645660323269211	0.000248762840204951	0.000476253182859553	0.001146465561321	0.000174670902552501	0.000452882552156219	0.00119692934956944	0.00106963483201652	0.000797878282072313	0.000183973582865289	0.00077193491662331	0.0019957888854517	0.00250234139534651	0.00239485489374628	0.000771170916615294	0.0015353082515142	0.00180908949882341	0.000263082916105752	0.000362909884032147	0.00115184814034118	0.000221794011916549	0.000373056932964654	0.000527703371602382	0.000323052092796068	0.000541574802040871	0.00067823202995977	0.00094527250315721	0.000400813571387202	0.000857663826655849	0.000418968637474189	0.000161822955006907	0.000871240524533262	0.000507742308592574	0.000754629273276917	0.000427590353048527	0.000236793886550155	0.000144840568916374	0.000579406502331532	0.000241307034727461	0.00110096449995018	2.98320544828777e-05	1.83860200058284e-05	0.000983129497817453	0.000176016920154501	5.40419019290797e-05	0.000237270609740386	1.93904383034065e-05	0.000303175643596415	2.0251970972445e-05	0.000184612271768464	0.000301068794219479	0.000695552498215908	0.000196062131305162	0.00206589321346332	1.74328217497463e-05	0.000259751796768116	0.000224592219137323	1.65773259314468e-05	0.000873173067267798	2.46898278649891e-05	0.000204459925241273	0.000298921848676195	0.000250236911796243	0.000471457714250422	0.000243233014308912	0.000205047532068409	0.000280200500269973	4.70435260816365e-05	0.000344440506341322	0.000133115715761207	0.0136419377512084	0.00300898413223791	0.00077021101085959	0.00050926233605254	1.57992808799315e-05	3.15075744208908e-05	0.00121650949364009	2.23511036527962e-05	0.000204420971465694
5-Hydroxylysine	0.469439250213275	0.012511872060421	0.00147317625935209	0.0542306195833941	0.0107742306923023	0.000403578286519597	0.0370588561580821	0.0106148825518531	0.00733474924555228	0.0212371657834218	0.00289128360600891	0.0331569229910104	0.112645327293963	0.0104213107162084	0.168519219511661	0.00233314240451323	0.00775310808777584	0.0250931143414973	0.00740890486860307	0.00440419402588697	0.0112639470927508	0.00346811040950187	0.00286688514720559	0.0312230715252197	0.00373758188418978	0.00175983404061063	0.0112878221694648	0.00830474876989489	0.0399506265360327	0.0253479320523333	0.0010888102042048	0.00653592635318185	0.00150762935836802	0.0172696525176301	0.00322935629241023	0.00172431333532204	0.40139317447915	3.67878876615632e-05	0.0141099581866934	0.00409592100879804	0.0235666017993262	0.0126869048504525	0.00285751909715732	0.0128977375648613	0.00209605083063001	0.00973697487135871	0.00526648913810554	0.00213926966403305	0.0051064210052628	0.0353229279101355	0.00385967458311655	0.00119747333127102	0.000909942325580549	0.00878113461040301	0.210838128602621	0.0672465014163219	0.00994999224352877	0.411724763705502	0.0402829971275683	0.303703959669957	0.00221794011916549	0.00186528466482327	0.164643451939943	0.0135681878974348	0.00893598423367436	0.0140167952858352	0.00614427127052187	0.051704950708949	0.00257299147996755	0.00209484318737094	0.0938573139040063	0.0101644727862214	0.0159938827206661	0.0143379561922614	0.015393252709747	0.00591984716375387	0.0417140838479157	0.107479906182499	0.00458483365982175	0.00110096449995018	0.00835297525520577	0.00459650500145709	0.00786503598253962	0.00264025380231751	0.00324251411574478	0.0346415090220963	0.00135733068123845	0.0218286463389419	0.5243235284766	0.00387685770713774	0.0472678006924582	0.155108207102147	0.0219589587061782	0.183864495998236	0.0355629563694824	0.0181826257737681	0.00808531988894364	0.00497319777943404	0.892673932436779	0.908832563710249	2.04459925241273e-05	0.00597843697352389	0.0342824569160853	0.0612895028525549	0.00364849521463368	2.05047532068409e-05	0.00672481200647936	0.01552436360694	0.00792213164585041	0.0101167943978517	0.0971725719816845	0.00601796826447582	0.335041789723922	0.0054745701125648	0.00979555414555751	0.0390693922819046	0.0590876039768043	0.017433860849181	0.11345363916346
Lysine	6.27289911736804	5.3323323835685	4.45400110252511	2.58212352185695	11.2087913302252	6.6578309927138	5.2590103229237	3.4914117860137	2.27285542246551	1.6270323635824	1.9140297471779	3.49252922171976	2.87646643814429	3.79691559704197	6.5494994663207	6.92593322779752	0.96259682602292	3.23296447354646	11.5049708459593	9.32522022071178	2.88724348197009	7.30100297753043	9.13497116092722	5.96223922752754	3.89284726496216	4.81279413426196	3.26527565498954	3.73513235192203	4.43842276763246	2.67959326708229	1.87617552615975	5.16528813086668	3.98589790909625	2.03720222377615	1.46365824900123	6.1356816181876	3.19141590081643	5.12933517665176	9.81503040576413	3.80175940907527	5.44291652515945	4.03518203096451	3.9721896716401	6.21556304070182	4.16328096233886	1.57716348788403	2.98059346629782	4.28442231964218	1.06756114141276	1.69568451326937	3.82918315390993	5.87679995210107	2.33809680557922	4.38058874314423	2.1825679282046	3.10684977776413	6.07718389892255	3.1969835965171	6.97875706993818	0.979070919290001	1.70781389175742	0.854673433422021	8.20473202167383	4.91459148770658	2.74930448256048	1.07567599951619	6.54223099435105	4.91337316485001	4.73130249974699	3.02474407824491	6.53020352634874	5.51466210678737	2.30337298293021	3.18629633486624	5.16443628412011	3.04895808321979	2.38697257574184	4.53211766123724	2.3066539449598	7.29388981216995	3.03660482581213	8.03046195794566	4.55336426914153	2.02965110630155	7.84796499814096	5.68429199755042	3.18759415269699	6.52828113356161	3.80959825962662	2.55171082038371	4.95197952732199	3.80606327023745	3.642246213256	5.8268518085733	1.94131903005174	6.23300411524772	6.04355202476623	2.52820797780495	12.0497883282956	3.41139351610555	7.04548456388902	6.63457043136814	2.2779066080812	16.3279950176349	7.39087837279059	4.25801705093258	0.303036841041976	4.81255271815142	5.2272291242359	15.5967690685933	27.1201722494023	0.593464255004461	7.02894568510462	10.0733363227032	1.20532713832997	5.36290424217982	6.42960024802891	1.49931203302957	5.51732201985909
Histidine	0.470418472679302	0.316493490982921	0.129344875571114	0.0961230558753281	0.322950658443626	0.221968057585779	0.242914824881364	0.199250191233743	0.0967270056757207	0.0708790408021702	0.0669125634533491	0.157834709442588	0.307594980412617	0.327381663475034	0.316394834633143	0.281921373878682	0.0799539271551884	0.191571087983474	0.849378022436281	0.496352666717462	0.733136034689039	0.443918132416239	0.129009831624252	0.535350328560154	0.310686494123275	0.121428548802134	0.221751087135615	0.282934199470902	0.761817119807796	0.1901094903925	0.137656718674464	0.169934085182728	0.413638673050426	0.125513367404919	0.373085632840806	0.178179044649944	0.256993680778812	0.487439511515712	0.495283447536306	0.18605410885419	0.0913609357425933	0.160949557612603	0.0814392942689835	0.131843539551915	0.354756603084129	0.168019426849957	0.213771581833102	0.137180667206119	0.104841206264302	0.250020099113928	0.135088610409079	0.161259741944497	0.084624636278991	0.160854420363292	0.252018655549878	1.08669118042175	0.0669363114564663	0.265450662350704	0.537832448135641	0.163178486548333	0.151263516127086	0.104455941230103	0.468600593982915	0.272009862134289	0.170054487840833	0.184705189492377	0.0855471615357275	0.267743465686651	0.124790086778426	0.106837002555918	0.478186832045411	0.121102432910123	0.123381380987995	0.162999923027814	0.0855180706097054	0.176648239366415	0.269403458184455	0.213221592858004	0.0692551189667812	0.417816027731094	0.278333068325249	0.722754446429113	0.396692752369342	0.37896442909264	0.510695973229804	0.29563917973652	0.261770917095987	0.681538846804741	0.113005998026243	0.10449054582095	0.430528375733855	0.7258090318883	0.307621484017799	1.81437071472416	0.18687984915728	0.330664037285812	0.161706397778873	0.151516759013424	0.263989324003964	0.367137740352388	1.93971131076396	0.267236132716518	0.944894578942614	0.312812193405155	0.457764532929372	0.190079062227415	0.20370576369627	0.699066797573119	0.395417701279838	2.23700960336708	1.48382307540067	0.292334381462806	0.276120647393163	1.00311948643949	0.681422984351444	0.491833236710105	1.23406198776261	0.0965567677800794	0.465875393970317
Arginine	0.368775180705714	0.143886528694841	0.110782854703277	0.288656102121135	1.29539404400527	0.0746619830061255	0.0710095501867766	0.221364529883438	0.0155863421467986	0.0743300802419763	0.00826081030288261	0.0826014572758505	0.431400216292978	0.500477092688154	0.535469819998302	0.0268311376519022	0.0254398859130145	0.085262625074335	0.103460064415136	0.766329760504333	0.173856574692457	0.100890484640054	0.0770475383311503	0.0537857290507434	0.16523226579689	0.0123188382842744	0.12088893420201	0.0355099602574816	0.475963498903424	0.036120803174575	0.129879502930144	0.0435728423545457	0.108960485445689	0.0531966974873427	0.022985418316567	0.0132197355708023	0.074155688166487	0.0327412200187913	0.0432864818947713	0.296892213728634	0.0548811274778829	0.035324323309103	0.182643095626638	0.0209229964941083	0.0368555604385777	0.18092657958641	0.0232204293816471	0.0542839677248386	0.0183512004876632	0.031827429835695	0.022386112582076	0.120146490904192	0.0143315916278936	0.035124538441612	0.0754205156449757	0.236744532383489	0.0375386071005858	0.141538608864895	0.43948386956293	0.0207332665261412	0.237984974786457	0.0339481808997835	0.688652899941108	0.180586119873002	0.175199448460222	0.0506413249036628	0.0430098988936531	0.0368748485676226	0.147518178184806	0.223938736729954	0.507638609856669	0.0287509373095976	0.123635252142292	0.0191172749230152	0.0367727703621733	0.075063662036399	0.3131453099972	0.0385305324050469	0.0306459934103875	0.513049456976785	0.225828652435384	0.000367720400116567	0.468952770458925	0.209812168824165	0.668498326862716	0.000474541219480771	0.000387808766068129	0.787953497707083	0.100854815442776	0.000369224543536927	0.343519494204426	0.371077257798187	0.153124524549332	0.000516473303365831	0.000348656434994925	0.339755350172696	0.000449184438274647	0.21815760925784	0.000582115378178532	0.208629045459158	0.228177276569261	0.000597843697352389	0.000500473823592486	0.338742367688928	0.393794250166128	0.137586894017902	0.10479498710097	0.517008351637185	0.20321989874138	0.575059892088414	0.118579920452812	0.000462920635728909	0.321948202539309	0.340441871651123	0.197017032572745	0.131071509590906	0.167530735981292	0.000447022073055923	0.210349179638199
Ornithine	0.589491924548167	0.542275909527791	0.285206923810565	0.25852798013036	0.325437019372619	1.43310649543109	0.816251193056079	0.101283671015599	0.622078420388402	0.390763850414961	0.606343476231584	0.412813386244802	0.435585182012878	0.418123320199093	0.221181475609055	0.551010464532541	0.126472575681843	0.287356631975211	1.12641814377297	0.157449936425459	0.905278530476078	1.17064490458913	0.419998674065619	0.255938024254173	0.203231014952819	0.208012383600177	0.282377615884515	0.126003084784612	0.558390366296733	0.517573087593581	0.295845286913932	0.62799359043489	0.06647274898259	0.156352032614972	0.527714810606802	0.743753818635574	0.171102344714417	1.05323722375055	0.167645435404611	0.522043750394077	0.113636216895381	0.833355514686585	0.15978294284938	0.343366435615641	0.334145436582934	0.0717818845167607	0.498161995290801	0.263664986092073	0.335108878470372	0.105232889398945	0.974181864778617	0.243087086248017	0.234082663255596	0.409520186830613	0.819908918545381	0.761819954401345	0.269102062949983	0.550895626325445	0.243149622301538	0.292953377026773	0.275911750824187	0.420808220384129	0.163588045196738	0.514945035916932	0.282431259264314	0.106708506047004	0.467909889062819	0.485585641735595	0.22942507363044	0.159417566558929	0.250340111395686	0.26253381139269	0.368620916038209	0.446488986688843	0.193270839577934	0.33672090667432	0.244780561468672	0.931975359000269	0.162640941406308	0.264781962238019	0.305480237904668	0.224861024671281	0.408490306343152	0.631900743354657	0.178338276365963	0.297062803394963	0.0944314345375894	0.217680112102226	0.315323188040968	0.359809317676736	0.189673340358272	5.18464832170138	1.45948650543563	0.600916688466144	0.112790356720858	0.362353756491522	0.103986197460581	0.130297781821172	2.3101248783015	0.36219977477939	0.538547443085513	0.246012681460508	0.495719322268358	0.967195500784741	2.46613953207806	0.181056970816405	0.0718714283192481	0.785156450302513	0.181175706335535	1.61855398794052	1.21266332809973	0.0442089207121108	0.725923877735164	1.48806454594552	0.129238117597839	0.194086658432687	1.56703801487895	0.416401061051593	0.551323360042977
Glutamine	3.68794765155034	1.40986049262653	0.666170304479016	0.995662698171309	3.62953443167867	0.847110823404635	0.350265963042518	1.2574212956216	1.12634243102012	0.164588034821519	1.06316628598099	0.798868553935455	1.55349414994104	2.24083598229496	2.30091929340734	2.14999072575894	0.301886646167772	1.68339720835056	2.17663040889746	2.64339725433736	0.860222742105075	1.65807205850639	0.924570459973804	3.22577630925518	2.35389792414702	1.66726677007451	1.3370607421379	2.01204016749246	1.57185051302115	0.563040940712454	1.03063663043728	1.68163938462075	2.03502551936803	0.0835727827192456	1.98339464994443	1.2696693859088	1.20128813192637	2.34927450606743	3.19387273869984	0.924436959803872	1.25451800811208	1.81721254769717	1.27516789710645	1.10691249945543	1.77989649700998	0.506322693310653	1.21105311589436	1.3137789824243	0.507450587397991	0.338143445306402	0.442318707225156	0.770773667561445	0.289361659534615	0.928405413808973	1.42712889828826	0.152609640200511	1.13656047763581	1.48852313932634	3.37106991277461	0.0783256735432001	0.908911860834016	0.778569819097232	3.1229485531429	0.729128573440724	1.48337338278994	0.0314247507214693	1.14094391131075	0.573764627440779	0.46699795361411	1.20935297206925	2.77445456359343	0.949652171741256	0.171363029149994	0.42988714267675	0.867580826335461	0.694279675365053	1.77053111443375	1.338718723637	0.269298650755846	0.803704084963632	0.752066093513348	0.401918397327408	1.9770734201109	1.09746549716331	2.28651287061936	1.90979113780036	1.6883254630776	2.01642120555976	1.53590947855023	0.163935697330396	2.23904862261027	2.42817377127173	1.53497042598811	0.460435949950638	0.771925347078765	1.8216393507348	0.621222078133836	2.07531543335782	0.542240474773302	1.10882016941666	2.04500817226321	2.38001575915986	0.740951495828676	1.3165456670443	3.83456847057999	1.15482770060928	0.243634334984742	1.86010102126791	2.66493619756281	6.19054636147493	0.591430470506236	1.42648993899863	2.20357370206929	4.02508218857526	0.391190194587103	1.50039069392282	0.911513184877466	0.725516824569764	2.98147986882715
Glutamate	0.51957544047385	0.736209926464316	0.628162356987732	0.682617163962405	0.80309458006469	0.835407053095567	0.493480510388912	0.58403968373842	0.737142299178004	0.119989986676333	0.94297149607405	0.457022616899483	0.266442817500271	0.488276533800886	0.619940078778522	0.674667011971743	0.226051557684214	0.414710932719155	0.669712079372656	0.726912223972645	0.639351431721136	0.934813396743003	0.859707183518277	0.541047969349427	0.349619638750252	0.553643789176105	0.29330131475819	0.607964884085753	0.443589715331122	0.382278500264252	0.447812082557945	0.841500517972164	0.369917421657754	0.26382478087201	0.422665750036045	1.11735504128868	0.487284510543544	0.691980166914004	0.839901239858766	0.384395980734773	0.661479001189306	0.517426707626297	0.475538803085263	0.752081408226578	0.443664092483352	0.324943231172087	0.669562278149145	0.381592226321895	0.410109436985169	0.227943269170093	0.821724718745513	0.870962269611121	0.779593087441135	0.882504028345502	0.337927095660822	0.827838209216455	0.8190652705923	0.434612977406702	0.786062808813629	0.315606390453483	0.483732739989993	0.551005089988793	0.903428172183278	0.790831523164773	0.496353306070458	0.109647511510163	0.948108320666682	0.627674052792358	0.89668753076869	0.404933188118804	0.537737679487953	0.873273419090506	0.513073602832796	0.46686397706732	0.884684440457402	0.805809595930176	0.579941637941161	0.695287802797838	0.648150695277959	1.73181715842164	0.85886484856205	0.545329353372869	1.14043021746824	0.582792022631551	0.99599225255294	0.615954502886041	0.506672152868011	0.938328616930905	0.489895177823444	0.540544731738062	0.585578804756887	0.940734753837015	0.5203488964839	0.278379110514183	0.315185417235413	0.790424717565378	0.506680046373801	0.633088077321953	0.530307109520643	0.750570767095669	0.584346466339558	0.866873361160965	0.784993192304815	0.826936830795241	0.498870912347578	0.527997395076153	0.662393982638217	1.02366712753641	0.716091812683608	0.495456694063212	0.919466604431447	1.53712797093784	0.561868932422071	0.447005015470117	0.599108730967001	1.15947873868878	0.334018749539464	0.52748604620599	0.687263306067664
Cystine	0.144729080478769	0.0244550226635501	0.0164995741047434	0.0186507421847652	0.0629878102011521	0.027039745196813	0.0693359244247987	0.0382578058639707	0.02613004418728	0.0411470087053797	0.028499795544945	0.0593334411418081	0.198785871695228	0.0515981969607391	0.051187712926667	0.0252757093822267	0.0300432938401314	0.0348065779575608	0.0886422546779296	0.0563736835313532	0.0399135516547473	0.0794512566540427	0.0164845895964322	0.0250696194728041	0.0199337700490122	0.0559627224914182	0.0296760486068188	0.0710199205149632	0.0635995606349486	0.0296253955861646	0.0485298262445567	0.132624838916648	0.0245332413770796	0.0325347917966067	0.0752250053996737	0.0637995934069155	0.0311249792074934	0.0916018402772924	0.061222869420229	0.133675967468954	0.0216296208295186	0.0286077266235693	0.0378621280373344	0.0292348718136856	0.0595627777704028	0.110050460173961	0.040695597885361	0.0548187851408468	0.148884087434694	0.0141659658806273	0.044772225164152	0.0291385177275948	0.0207011879069575	0.0203562665968433	0.169503367472042	0.0383827062878549	0.0226136187352927	0.0536689148855734	0.0254036918822503	0.180840158033565	0.0523433868123055	0.0156683911845154	0.058047370876262	0.0281055320732579	0.0614687400316388	0.0327812147813889	0.0160696325536726	0.0701423749927603	0.0102919659198702	0.017806167092653	0.0985501795992066	0.0336879669486195	0.0269103423554064	0.021381162742846	0.016248433415844	0.0191803048105625	0.049969996276149	0.0611273859959766	0.0243720105074735	0.018165914249178	0.0617523527795569	0.0316239544100248	0.0584962051201384	0.0772714279478258	0.0486377117361718	0.0121008010967597	0.0288917530720756	0.0400191849547268	0.0263275622641785	0.0299071880264911	0.0677404786993828	0.192320265756699	0.0945019472890881	0.0614603231005339	0.0622351736465942	0.140265970254783	0.00718695101239435	0.067303943281674	0.103616537315779	0.0802419405612146	0.0924158862090554	0.0558983857024484	0.121114665309382	0.249165401981348	0.139129284184698	0.0824291078915003	0.0680887215656035	0.189114974848179	0.164298121524811	0.106093225461682	0.11585153290257	0.292797302098535	0.105133802982334	0.066967997190909	0.0530855837565697	0.137057948730875	0.0702099764900851	0.0223511036527962	0.107116589048024
Anserine	0.00489611233013428	0.00710901821614828	0.00530343453366753	0.0106165763205586	0.00359141023076745	0.000403578286519597	0.000956357578273086	0.00199029047847247	0.0027505309670821	0.00159278743375663	0.000413040515144131	0.00387800268900706	0.00453371286322451	0.0406685296242279	0.0052662256097394	0.000388857067418872	0.00193827702194396	0.00161891060267725	0.000793811235921758	0.00154146790906044	0.00391789464095679	0.00157641382250085	0.000358360643400699	0.000911622526283787	0.00186879094209489	3.51966808122127e-05	0.00127443153526216	0.0157503855980765	0.00895445077531768	0.0047527372598125	0.00544405102102399	0.00163398158829546	0.000685286071985464	0.0174238458436804	0.0043691291014962	0.00287385555887007	0.00272130965748576	3.67878876615632e-05	0.000956607334691078	0.0120395253894973	0.00290547145471145	0.00920422508758317	0.000714379774289329	0.00229293112264201	0.00890821603017754	0.00339661914117164	0.00191508695931111	0.000267408708004131	0.00574472363092066	0.000919867914326446	0.00115790237493496	3.99157777090339e-05	0.00136491348837082	0.00319313985832837	0.00154234183323059	0.00030706165030284	0.000904544749411707	0.00526165832211504	0.000725819768064293	0.012670329543753	2.21794011916549e-05	0.00261139853075258	0.000527703371602382	3.23052092796068e-05	0.00352023621326566	0.00271292811983908	0.00189054500631442	0.00180366107124241	4.28831913327924e-05	0.000209484318737094	0.00194187546008289	0.000290413508177754	0.00126935577148143	0.00201234472873845	0.00342072282438821	2.36793886550155e-05	0.0334581714196824	0.00550436177214955	0.00144784220836476	0.00220192899990036	0.00119328217931511	0.0022063224006994	0.00294938849345236	0.00158415228139051	0.00432335215432638	0.00213543548766347	0.000581713149102194	0.00576033722833189	0.00364535477504009	0.0020307349894531	0.00331175673641427	0.00625997248394317	0.0107834172217839	0.0234995353031453	0.00122029752248224	0.00363652515475363	0.00157214553396126	0.00182350585245915	0.00989596142903504	0.00740694835949673	0.00122675955144764	0.00358706218411434	0.00100094764718497	0.00730759457088155	0.000486466028617824	0.0022555228527525	0.0021015037520248	0.0014113057824491	0.00137776202536529	0.000399347147283621	0.00587652703128978	0.00231460317864455	0.0080872156140257	0.000381946752039405	0.0109015038071527	0.00252060595367126	0.00225923191676016	0.00178808829222369	0.00776799691569638
