EC	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
Alcohol dehydrogenase (1.1.1.1)	0.00076369	0.000567241	0.000177408	0.00106521	0.000374665	0.00195407	0.000649531	0.000859841	0.000620713	0.000772239	0.00191497	0.00134372	0.000543169	0.000721205	0.000635951	0.000210363	0.000862866	0.000987546	0.0010817	0.000726015	0.00100144	0.00101662	0.000725629	0.000243732	0.000784107	0.000461618	0.000343741	0.000650117	0.000860735	0.000722363	0.00134752	0.000518091	0.000941115	0.00100951	0.00035929	0.00263374	0.000590168	0.00200712	0.000385132	0.00183866	0.00129672	0.00126939	0.00178258	0.0018972	0.00250299	0.00145861	0.00223111	0.00175661	0.000655125	0.000540296	0.000608349	0.000426613	0.000632298	0.00100483	0.000682969	0.000737133	0.00100084	0.000236892	0.000598622	0.000712635	0.000570414	0.00047238	0.00114958	0.000501841	0.000533707	0.00051602	0.00026659	0.000699642	0.000975537	0.000699945	0.000613037
3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100)	0.00154276	0.0024085	0.00196682	0.00330031	0.00266437	0.00463885	0.00165243	0.00164834	0.001916	0.00333253	0.00254711	0.00222847	0.0016605	0.00212978	0.00190198	0.00170593	0.00101198	0.00239541	0.00206624	0.00231243	0.00206341	0.0034675	0.00172466	0.000715498	0.00157824	0.00162508	0.00178151	0.00142401	0.00173225	0.00165515	0.00414404	0.00216227	0.00214142	0.00236002	0.0018322	0.00392291	0.00125195	0.00332307	0.0019649	0.00291199	0.00290769	0.00335107	0.00520803	0.00285906	0.00266199	0.00298203	0.00255351	0.00279817	0.00202527	0.00193956	0.00237391	0.00174018	0.00173581	0.00316711	0.0015979	0.00197629	0.00238718	0.00146233	0.00230198	0.00207517	0.00231759	0.00201763	0.00283919	0.00165057	0.00240928	0.00217784	0.00108859	0.00140893	0.00304299	0.00184886	0.0026633
L-threonine 3-dehydrogenase (1.1.1.103)	0.000291671	0.000691629	0.00111504	0.000981857	0.00118349	0.000987664	0.000321453	0.000486369	0.000597919	0.000350496	0.00132402	0.000899193	0.000536698	0.000603031	0.000734445	0.000513217	0.00043545	0.00077013	0.000541029	0.000391803	0.00068059	0.000211115	0.000547072	0.000168215	0.000463117	0.000452607	0.000448251	0.000542475	0.000648358	0.000430966	0.000486301	0.000664071	0.000432727	0.000511385	0.000670916	0.001712	0.000592357	0.000413887	0.00070817	0.000996495	0.00077606	0.000726553	0.00160981	0.00109379	0.00115856	0.00126111	0.00101137	0.000822481	0.000323685	0.000558587	0.000476609	0.000395154	0.000255585	0.0010066	0.00031126	0.000467412	0.000225073	0.000575996	0.000351222	0.000624057	0.00069783	0.00072935	0.000622728	0.000440091	0.000720031	0.000339007	0.000164682	0.00032015	0.000731976	0.000330435	0.000376417
D-threo-aldose 1-dehydrogenase (1.1.1.122)	0.0002352	0.000381215	0.000305494	0.000270266	0.000476523	0.000221329	0.000527111	0.000633869	0.000261688	0.000235883	0.000253905	0.000615815	0.000580561	0.000792832	0.000964134	0.00106574	0.0011696	0.0004913	0.000757149	0.000131364	0.000186934	0.000297129	0.000285545	9.78338e-06	0.0010336	0.000387918	0.000595825	0.000646845	0.000525058	0.000731538	0.000390705	0.000641291	6.72981e-05	0.000142543	0.000621284	1.23964e-05	0.000255502	4.46677e-05	0.000460264	1.34953e-05	0.00013137	1.36637e-06	7.447e-06	6.02371e-05	0.000136021	0.000263766	2.30508e-05	0.0001768	0.000185473	0.000349056	0.00052195	7.6142e-05	0.000423228	0.000260215	0.000224138	0.000122238	5.5934e-05	0.000532348	0.000174335	0.000233582	0.000770744	0.000636131	0.000105722	0.000487101	0.000471129	0.000232757	0.000248432	7.41372e-05	0.000274359	0.000125823	0.000345429
2-deoxy-D-gluconate 3-dehydrogenase (1.1.1.125)	2.24251e-05	0.000226549	5.44001e-05	3.24436e-05	2.6398e-05	6.73733e-05	0.000173614	0.000320553	1.53476e-05	0	0.000151364	6.25946e-06	0.000138794	5.26858e-05	2.48831e-05	6.37464e-06	0.000154505	1.31772e-05	0.000157257	2.59972e-05	4.15054e-05	5.87319e-05	6.65581e-06	1.4e-05	2.55552e-05	0.000127451	0.000193049	8.12984e-06	6.7046e-05	0.000299173	9.68407e-05	4.11369e-05	0.000179516	3.31894e-05	0.000140777	1.6114e-05	9.43026e-06	0.000380387	4.01978e-06	5.12094e-06	1.29254e-05	7.08648e-07	8.84227e-06	2.63314e-05	3.64342e-05	1.26388e-05	4.58909e-05	2.71704e-05	4.2386e-05	0	1.51531e-05	3.88271e-05	0.000114282	7.43403e-06	7.07968e-05	1.0221e-05	0	2.28339e-06	1.21606e-06	3.40264e-06	1.65357e-05	3.50402e-05	1.69271e-05	1.12752e-05	7.97641e-06	3.92723e-06	5.03102e-05	4.00906e-06	5.58765e-05	1.97021e-05	7.21831e-06
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (1.1.1.127)	0.000312564	0.000289441	2.26525e-05	0.000540889	0.000126126	0.00101296	0.000156392	0.000218804	0.000336666	0.000161901	0.0011376	0.000557665	1.15618e-05	0.000239499	5.97012e-05	5.2872e-05	0.000417389	0.000450038	0.000387054	0.000274907	0.00037233	0.000427642	9.09979e-05	2.18502e-05	0.000283112	0.000125603	2.9002e-05	0.00036908	0.000360203	0.000302857	0.000526575	0.000132473	0.000415451	0.000265424	8.94021e-05	0.000834807	0.000275869	0.000213689	7.32342e-05	0.00033377	0.00023872	0.000424648	0.000975725	0.000523492	0.000790989	5.68578e-05	0.00112596	0.000672762	7.87217e-05	0.00012791	0.000136087	1.4185e-05	5.39191e-05	0.000532522	1.22e-05	4.02254e-05	6.95882e-05	1.99924e-05	8.29141e-05	8.93838e-05	0.000366714	0.000195824	0.000298965	0.000102346	0.000111401	0.000222064	6.17834e-05	7.27011e-05	0.000339298	2.91919e-05	0.000152738
3-dehydro-L-gulonate 2-dehydrogenase (1.1.1.130)	0.000134788	0.000112924	1.8451e-05	8.59474e-05	0.000101003	0.000403174	0.000107191	0.000184097	0.000107452	4.11913e-06	0.000540898	0.000260461	2.03524e-05	0.000192804	5.67876e-05	0.000170941	0.000128596	0.000196574	0.000192333	7.24371e-05	0.00021481	1.01399e-05	7.24622e-05	1.37343e-05	2.09932e-05	4.26807e-05	2.39434e-05	0.000202609	0.000170859	0.000161843	5.46371e-05	7.1368e-05	0.000176221	7.06827e-05	0.000204882	0.00071661	0.000125287	4.33535e-05	5.96226e-05	0.000286616	0.000157867	7.77151e-05	7.62073e-05	0.000392396	0.000330709	0.000240075	0.000757414	0.000293067	3.59202e-05	1.5647e-05	2.02904e-05	1.01257e-05	6.6725e-06	0.000161619	6.021e-06	5.62307e-05	1.82648e-05	2.28501e-05	1.24847e-05	1.36779e-05	6.67084e-05	6.88594e-05	8.91103e-05	5.0641e-05	2.11282e-05	4.5072e-06	3.91669e-05	1.4539e-05	0.000166163	7.15005e-06	1.19272e-06
Mannuronate reductase (1.1.1.131)	0.000604366	0.000423411	0.000413114	0.000287052	0.000672849	0.000253485	0.000818993	0.00081878	0.000380445	0.000701506	0.000423498	0.000834092	0.000990297	0.000769889	0.00101745	0.00131995	0.00132612	0.000794264	0.000803189	0.000423725	0.000617769	0.000861972	0.000358586	8.93718e-05	0.00116768	0.00092508	0.00119771	0.000752958	0.000647635	0.000994349	0.000510514	0.000933356	0.000244017	0.000300067	0.000827455	2.48434e-05	0.000479558	8.35758e-05	0.000589499	1.56772e-05	0.000254044	1.73238e-05	7.8056e-06	9.1261e-05	0.000115623	0.00040007	2.74873e-05	0.000187413	0.000477092	0.000403105	0.000703686	0.00030874	0.000693146	0.00020429	0.000314154	0.000348873	0.000125772	0.000720315	0.000275316	0.000392234	0.000898637	0.000902449	0.000346812	0.00084443	0.000559536	0.000375895	0.00052128	0.000138638	0.000538974	0.000405402	0.000430749
GDP-mannose 6-dehydrogenase (1.1.1.132)	0.000160233	0.000178313	0	0.000303868	0.000202582	7.33358e-05	8.40749e-05	2.78495e-05	0.000188817	1.90116e-05	0.00022519	4.40709e-05	0.000496326	4.39474e-05	0.000128622	0.000228355	2.05394e-05	0.000289179	3.63806e-05	9.92764e-05	5.89111e-05	2.42016e-05	0.000128862	2.64211e-06	4.08645e-05	3.70351e-05	2.88144e-06	3.40705e-05	2.23953e-05	0.000111143	2.11216e-05	0.000118398	1.83894e-05	3.63729e-05	0.00018192	0.000140841	6.11472e-05	4.90929e-05	2.29057e-06	5.35552e-05	4.20771e-05	4.49137e-05	0.000120284	6.603e-05	0.000216304	0.000120347	6.1843e-05	9.00905e-05	1.86446e-05	9.00182e-06	1.1731e-05	1.36885e-06	2.80212e-05	9.23087e-05	3.1766e-06	2.26356e-05	4.42325e-06	8.01847e-06	1.15531e-05	4.41369e-05	3.44038e-05	5.9372e-05	4.65391e-05	1.59247e-05	1.54194e-05	1.06757e-05	2.8814e-06	3.12351e-05	7.28217e-05	4.04531e-06	3.96599e-06
dTDP-4-dehydrorhamnose reductase (1.1.1.133)	0.00258901	0.0021844	0.00231085	0.00167723	0.00255092	0.00125319	0.00284986	0.00228634	0.0018066	0.0020793	0.0012645	0.00187355	0.00281818	0.0023967	0.00228357	0.00352657	0.00170883	0.00243008	0.00172142	0.00296515	0.00189546	0.0024708	0.00234281	0.00228131	0.0013801	0.00257573	0.00269196	0.00193407	0.00158433	0.00189137	0.00216801	0.002195	0.00187644	0.0020285	0.00274525	0.00078362	0.00194302	0.00199851	0.00264275	0.00142497	0.00170688	0.00309111	0.000479637	0.00201393	0.00114164	0.00186029	0.00177233	0.00156036	0.00240809	0.00272734	0.00278088	0.00259297	0.00271844	0.00223828	0.00254096	0.00246337	0.00241931	0.001832	0.00236362	0.00265337	0.00232879	0.00256043	0.00189072	0.00214464	0.00251267	0.00242491	0.00190496	0.00230442	0.00156519	0.00249051	0.00263238
