	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
1CMET2-PWY: folate transformations III (E. coli)	0.00760343	0.00757109	0.0104678	0.00555436	0.00671292	0.00439633	0.00796305	0.00832148	0.00748151	0.00684966	0.00467839	0.00579327	0.0116262	0.00750425	0.00813567	0.0103545	0.00788308	0.0055843	0.00677844	0.00696823	0.0061875	0.00732287	0.00890908	0.0151991	0.0071691	0.00903337	0.00943386	0.00730559	0.00722918	0.00865031	0.00759468	0.00742173	0.00485019	0.00641382	0.00902544	0.00457495	0.0089003	0.00573864	0.00862441	0.00614434	0.00711286	0.00478835	0.00352398	0.00547834	0.00527502	0.00811458	0.0044744	0.00508543	0.00594499	0.00818028	0.00764958	0.00860668	0.00898996	0.00728013	0.00672334	0.00768089	0.00798424	0.00829508	0.00813689	0.00840125	0.00810633	0.00753219	0.00548847	0.00896728	0.00798294	0.00944374	0.0112731	0.00882842	0.00596939	0.00803596	0.00816932
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.000145704	0.0	0.000495123	5.37181e-05	0.000100627	0.0	3.10336e-05	0.000219722	0.000133275	0.0	0.000523876	4.79044e-06	0.000147096	5.02844e-05	1.27437e-05	0.000427502	4.29453e-05	0.0	9.08375e-05	0.000555533	1.00378e-05	7.0056e-05	1.80758e-05	0.000558621	0.0	0.0	0.0	0.0	5.02608e-05	0.000137561	0.000106114	0.000394575	0.000473446	0.0	0.00085472	0.000129042	0.000329632	0.000109878	0.000131645	5.7729e-06	0.000688837	0.00120638	0.000351587	0.00050499	2.91384e-06	0.000106982	0.000251457	0.0	0.0	1.86513e-05	0.0	7.36001e-06	0.000178687	0.0	4.21116e-05	3.45918e-05	2.09818e-05	0.0	4.85208e-06	0.000111335	0.000390281	0.00030148	0.0	3.25592e-05	0.0	1.369e-05	0.0	0.000333779	3.42215e-06	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.000321311	2.6781e-05	0.0	0.00010496	0.000239352	0.000880259	0.000138348	6.94352e-06	0.000226437	4.05629e-05	0.0010017	0.00127784	7.75202e-06	5.42697e-05	0.0	3.32323e-05	0.000288774	0.000436216	0.000454166	1.89877e-05	4.41483e-05	0.0	9.08408e-06	0.0	0.0	0.0	0.0	0.000216171	0.000402391	0.0	0.0	2.30176e-05	0.0	9.12517e-06	6.34702e-06	0.000144524	0.00016738	0.0	0.0	0.000104574	0.00018768	4.62035e-05	1.13799e-05	0.000568968	0.0	3.20656e-06	4.51127e-05	0.000196768	3.09766e-05	0.0	1.04355e-05	0.0	1.84889e-05	0.0	0.0	2.43925e-05	0.0	1.94572e-05	0.0	0.0	5.73899e-06	0.0	5.20146e-05	9.4491e-05	1.10456e-05	0.0	1.03613e-05	1.00258e-05	4.35775e-06	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	4.6644e-05	4.41269e-05	1.29693e-05	2.11536e-05	9.27462e-05	6.74779e-07	1.21918e-06	0.0	0.0	3.67489e-05	2.52598e-05	3.45541e-05	0.0	5.73909e-06	0.0	0.0	1.9391e-05	7.27616e-06	0.0	0.000781184	0.000114685	1.45224e-05	0.000209657	0.000113882	0.0	0.000149247	0.0	1.17015e-05	5.95818e-06	0.0	0.000151753	0.000184825	0.000155808	0.000153153	2.07152e-06	0.000140067	3.70271e-05	0.000133876	6.51669e-05	2.51757e-05	0.00026947	9.18223e-05	0.000108747	0.000415182	3.11324e-05	5.18563e-06	0.00077074	2.82218e-05	0.000130198	0.000327365	0.000225395	0.000129605	7.60107e-05	1.25856e-05	2.43117e-05	0.000264996	0.00020423	9.72826e-05	0.000221203	0.000215797	5.14494e-05	0.000112382	7.53696e-05	6.43109e-05	0.000116108	4.45367e-05	1.6314e-05	0.000105297	0.000123287	8.64319e-05	0.000150041
ANAEROFRUCAT-PWY: homolactic fermentation	0.00286033	0.00529272	0.00323234	0.00470986	0.00418419	0.00454441	0.00405423	0.0036506	0.00436617	0.00389352	0.00487321	0.00444907	0.00239751	0.00429065	0.00333283	0.00347015	0.00279316	0.00437996	0.00369346	0.00416826	0.00372494	0.00266588	0.00481166	0.00204226	0.00348279	0.00454129	0.00404464	0.00264127	0.0041049	0.0035506	0.00413858	0.00383679	0.00380569	0.00416343	0.00464772	0.004751	0.00290416	0.00480995	0.0057143	0.00362595	0.00500901	0.00461043	0.00401477	0.00454949	0.00438619	0.00631785	0.00429793	0.00436255	0.00329956	0.00401956	0.00377137	0.00322656	0.0027518	0.00526201	0.00150092	0.00389745	0.00323441	0.00259323	0.00399726	0.0052721	0.00369618	0.00363585	0.00397434	0.00347805	0.00491616	0.00407476	0.00242403	0.0043819	0.00392567	0.00329847	0.00316773
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00542952	0.0085201	0.00844906	0.00604517	0.00659051	0.00576816	0.00750637	0.0079056	0.00703361	0.00774919	0.00552308	0.00607378	0.00777766	0.00832039	0.00843073	0.00917468	0.00601699	0.00634447	0.00672137	0.00792646	0.00617294	0.00983919	0.00860453	0.01034	0.00629685	0.0095531	0.0092016	0.00680483	0.00726159	0.00863592	0.00943617	0.00757977	0.00816656	0.0071841	0.00969599	0.0061833	0.0068727	0.00662314	0.00835676	0.00719057	0.0078539	0.00692536	0.00497492	0.00725271	0.00576315	0.0096276	0.00612756	0.00586535	0.0102873	0.010457	0.00863674	0.00936424	0.0101146	0.00819052	0.00875012	0.00881268	0.0109356	0.0077713	0.0104075	0.00864283	0.00838093	0.00687146	0.00703672	0.00773955	0.00880227	0.0101976	0.00783146	0.0096351	0.00725709	0.00966849	0.00973825
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00246882	0.00203043	0.000685959	0.00254539	0.00160021	0.00256702	0.00172348	0.00189058	0.001649	0.00303933	0.00311502	0.00264767	0.000641269	0.00213489	0.00193117	0.000678384	0.00175529	0.00296499	0.00298608	0.00278883	0.0029463	0.00106948	0.00173091	0.00155124	0.00213988	0.00150966	0.000924245	0.00232447	0.00277571	0.00147656	0.00194334	0.00176881	0.00259922	0.00303074	0.000384558	0.00379377	0.00161874	0.00275446	0.00120036	0.00409232	0.00246202	0.00365886	0.00394452	0.00309938	0.0033177	0.000931249	0.00295399	0.0031295	0.00220712	0.001543	0.0021062	0.00187823	0.00130483	0.002733	0.00296672	0.00117661	0.00159964	0.00127571	0.000725569	0.000767042	0.00249681	0.00253251	0.00321461	0.00154559	0.00145755	0.000370284	0.00132293	0.00189554	0.002978	0.00123989	0.00254351
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.000244407	0.0	0.000980613	1.16827e-05	0.000113797	0.0	0.000196011	0.000511044	0.000489925	0.00172374	0.000805913	0.0	0.000169351	9.65531e-05	2.08832e-05	0.000515493	0.000168215	0.0	0.000308138	0.000695264	2.15931e-05	9.37092e-05	0.0	0.000622525	1.4196e-05	0.0	0.000445682	0.0	0.000150205	0.000227169	0.000168677	0.000319989	0.000560354	0.0	0.00112452	0.000412272	0.000234528	3.80156e-05	0.000278839	0.000490258	0.000660983	0.00182153	0.000515736	0.00154433	4.28403e-05	0.00144818	0.000598084	0.000116035	1.95057e-05	2.80498e-05	1.11441e-05	2.59069e-05	0.000176523	0.0	6.60499e-05	0.000129496	2.01532e-05	0.0	0.0	0.000177227	0.000277255	0.000535576	6.95437e-05	4.49707e-05	0.0	0.000153789	2.17106e-05	0.00058466	1.17944e-05	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00363632	0.00560046	0.00911459	0.00352782	0.00686306	0.00359292	0.00647154	0.00575502	0.00617222	0.00371497	0.00215748	0.0036601	0.00799911	0.00502806	0.00624258	0.00843312	0.00657182	0.00433684	0.00424751	0.00220658	0.00433728	0.00310389	0.00513781	0.0156224	0.00678938	0.00590542	0.00704582	0.0048593	0.00498224	0.00610777	0.00318536	0.00510895	0.00104544	0.00195084	0.00669719	0.00228807	0.00527213	0.000797795	0.00662585	0.00133428	0.0027896	0.000819859	0.00113421	0.00182109	0.00184496	0.00334828	0.0024103	0.00218132	0.00232779	0.00468162	0.00492338	0.00605474	0.00721763	0.0034847	0.00357212	0.00355103	0.00137653	0.00681357	0.0031057	0.00460351	0.00575977	0.00602808	0.00255111	0.00576179	0.00585845	0.00623075	0.00878972	0.00146502	0.00289714	0.00590111	0.00380224
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00450102	0.0035486	0.00363809	0.0037252	0.00420214	0.00320966	0.0034885	0.00407057	0.00282444	0.00691356	0.00392852	0.00398437	0.00287701	0.00497379	0.0050515	0.00313187	0.00229083	0.00375773	0.00354684	0.0092595	0.00479198	0.00988284	0.00742963	0.00378353	0.00231334	0.00625445	0.00579279	0.00373448	0.0045849	0.0027248	0.00719297	0.00517815	0.00629901	0.00598976	0.00396426	0.00630396	0.00424015	0.00670159	0.00522811	0.00816941	0.00699636	0.00885113	0.00493578	0.00708242	0.0045702	0.0061636	0.00690689	0.00550102	0.0131403	0.00937192	0.00740907	0.00976791	0.00828755	0.00625342	0.0104138	0.0095834	0.0119719	0.00852689	0.0116666	0.00806683	0.00559017	0.00366345	0.00758696	0.00555152	0.00720365	0.00840931	0.00682297	0.00922599	0.00725842	0.00983928	0.00956512
