	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	0.00863	0.006679999999999999	0.00366	0.0	0.07981	0.0	0.0	0.0	0.0009400000000000001	0.0	0.0	0.0	0.004520000000000001	0.0	0.0	0.0	0.0	0.0	0.00413	0.00091	0.0	0.0	0.00248	0.0	0.0	0.0	0.0	0.0	0.00105	0.00556	0.0	0.64031	0.00108	3.0904599999999998	0.00889	0.0	0.0	0.00656	0.11775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01006	1.10019	0.0102	4.16327	0.01077	0.0109	0.01258	0.0018800000000000002	0.00588	0.00925	0.00461	0.00878	0.0077599999999999995	1.7795400000000001	3.7949	0.00439	0.00472	2.1439	0.0	1.20944	0.83039	2.53557	0.00122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae	0.027569999999999997	0.0	0.5401699999999999	0.0	0.3868	0.0086	1.19472	2.19433	0.34435	0.02762	0.004370000000000001	2.66465	0.17995	0.09373	0.10046000000000001	2.36888	0.01006	0.0542	0.28286999999999995	0.0936	1.68051	0.05501	0.02835	0.01179	0.0	0.26356	0.23596	0.14642	0.69403	2.34801	0.8403299999999999	0.1961	0.0071200000000000005	0.01643	3.00448	0.0061	0.0	0.0155	0.07324	0.03634	0.07197	0.05197	0.05114	0.015059999999999999	0.10231	0.95125	0.0	0.8316100000000001	0.014180000000000002	0.07391	0.02351	0.0141	8e-05	3.02455	0.04303	0.04746	0.01856	0.14149	0.02967	0.08206000000000001	0.49013	0.16374	0.01686	0.01155	0.06729	0.01622	0.37003	0.00331	0.52447	0.0026899999999999997	0.0258
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.0	0.0	0.0	0.0	0.0	0.30065	0.0	0.00031	0.23904	0.03417	0.01178	0.0	0.00015	0.021159999999999998	0.0	0.0	0.0	0.32189	0.0	0.0	0.0	0.033319999999999995	0.0	0.0	0.0	0.0	0.0	2.6721	0.0	0.00633	0.0925	0.05527000000000001	0.0	0.34958	0.0	0.0	0.0	0.0013	0.0845	0.0	0.0	0.0	0.0032600000000000003	0.0	0.0	0.011170000000000001	0.011309999999999999	0.00266	0.0	0.0	0.0	0.0	0.00441	0.0	0.00601	0.0	0.0	0.00216	0.0017100000000000001	0.0025800000000000003	0.0	0.0	0.01461	0.0	0.0	0.0	0.03443	0.0	0.01299	0.01708	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A	30.52794	0.11927	0.10171000000000001	0.0	0.01794	0.0	0.0	0.03564	0.0	0.07703	0.00125	0.52157	0.03009	0.00075	0.02429	0.00629	0.00483	0.053110000000000004	0.01535	5.97429	0.006670000000000001	0.045610000000000005	0.025810000000000003	0.00907	0.03568	0.00861	0.01144	26.79038	0.01011	0.02585	0.02459	0.14257999999999998	36.98496	9.07771	0.10725	0.0	16.89344	0.6568	0.0	0.00212	0.0	0.76041	0.0	0.0	0.0	0.0008900000000000001	0.042480000000000004	0.0	0.0445	0.0329	0.008579999999999999	0.1187	0.04242	0.023280000000000002	0.05889	0.64344	0.08617000000000001	0.08002999999999999	0.055729999999999995	2.47198	0.12444000000000001	0.0777	0.10142000000000001	13.79563	0.08834	0.10776	0.01541	15.039860000000001	0.03083	0.0147	0.0014199999999999998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.06293	16.14232	3.02625	34.68187	0.06116	0.051870000000000006	27.03595	4.29369	36.77074	5.50703	0.12167	0.43893999999999994	0.5079899999999999	4.66109	6.8852199999999995	0.022080000000000002	0.04034	16.73145	3.3957599999999997	0.01938	7.69835	1.7878	0.22484	0.2652	0.01012	0.00463	0.02145	0.9979600000000001	6.95355	0.56215	0.09877000000000001	0.46369	0.00995	0.00815	6.648160000000001	0.20384000000000002	0.54227	0.0	0.6940000000000001	0.0	0.251	0.008870000000000001	0.0057	0.12063	6.939489999999999	1.7993700000000001	0.31611	14.71967	0.13912	0.00908	2.08948	0.00267	0.013000000000000001	6.57465	0.18357	0.7832399999999999	0.00236	1.9479400000000002	0.65303	0.55116	0.01064	0.15647	0.00795	0.006370000000000001	0.01311	0.009940000000000001	0.43027	0.012969999999999999	0.58702	0.00527	0.91637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB	0.07026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6681	0.0	0.0	1.20439	0.00078	1.61543	0.0	0.0	0.0	0.00425	0.04129	0.0	0.0	0.01733	2.11973	0.0007	0.00054	0.8315799999999999	0.00193	2.73265	0.00035	0.00058	0.0	0.18617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061	0.0	0.00058	0.02132	0.0	0.00037	0.0	0.0	0.38311999999999996	0.15817	0.0	0.0	0.0	0.0	0.0	0.0	0.00173	1.14093	0.09664	0.13874	0.4493	0.4425	0.0	0.17704	0.0	0.0	0.0	0.0168	0.17945	0.22519	0.02433
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	3.4810000000000003	0.01515	0.08638	2.34326	0.00081	0.0047799999999999995	0.00364	0.0038	0.00331	1.1046	0.00099	0.05596	0.00645	0.24774000000000002	0.00511	0.009000000000000001	0.0109	0.00978	0.028730000000000002	2.98106	0.00517	6.3407800000000005	0.02198	0.05051	0.0024	1.50264	4.42701	0.00464	0.00404	0.0057799999999999995	0.0068	0.25377	4.503819999999999	4.291580000000001	0.00983	4.43722	0.0	0.75162	6.71552	4.5342400000000005	0.02531	0.04505	0.18649000000000002	0.16568	0.0	0.0	0.0047	0.0	0.69685	0.099	2.9788	1.48861	1.4220700000000002	0.52366	0.00799	0.21882	0.05905	0.0035299999999999997	0.44846	0.46358	0.07095	0.35889	0.00252	0.9638399999999999	0.19462000000000002	0.39314	0.00156	0.14371	0.2438	1.9974599999999998	2.75198
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus	13.99499	0.14097	6.32925	0.09455	0.14531	0.14232	23.024079999999998	37.23987	12.21683	6.777310000000001	0.20659	4.7920300000000005	30.441390000000002	5.40142	31.88608	54.81095	73.00553000000001	24.66876	36.53412	2.69539	0.18915	15.59026	9.90647	0.20344	73.19495	13.96384	20.0563	28.835290000000004	30.88522	37.11835	0.17369	28.73418	4.2076199999999995	5.12204	29.2003	0.61451	14.5421	1.92936	20.00935	0.60111	4.09816	0.07396	0.24833000000000002	1.35378	0.00504	1.7926	0.94505	0.00343	8.95321	3.42763	20.95656	2.7473099999999997	19.565279999999998	0.16881	12.05317	1.37693	0.89779	26.208270000000002	0.11016	7.5968800000000005	28.09783	38.78049	0.8411	26.11861	12.2216	2.8946400000000003	11.47154	1.22228	11.74372	3.4122	10.92765
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.0	0.00296	0.0	0.0	0.0	0.0	0.0	0.0179	0.0	0.04842	0.0054	0.0	0.0	0.04308	0.0	0.0	0.0	0.07579	0.02307	0.01314	0.00603	2.01714	0.03173	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.00198	0.0	0.69962	0.00605	0.0016899999999999999	0.0	1.76961	0.0	0.0	0.016040000000000002	0.0	0.03387	0.8737	3.29035	4.26664	0.0	1.04819	0.87649	8.77581	0.0	0.0	0.0	0.0	0.48704	0.0	0.00125	0.13474	0.06281	0.0	0.07357000000000001	0.33399	0.00183	0.06867000000000001	0.04577	0.0218	0.13726	0.12583	0.33805999999999997	1.67983	0.00229	0.00485	0.01927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	0.01655	0.0	0.00434	0.0	0.11592000000000001	0.31268	0.0	0.0	0.01445	0.0	0.20201	0.0	0.034230000000000003	0.9479700000000001	0.055139999999999995	0.23119	0.0	0.18263	0.46102	0.04504	0.27508	0.00361	0.00217	0.0	0.0	0.0	0.10536	0.03406	0.0	0.0	0.06916	0.09988999999999999	0.0	0.01108	2.1489599999999998	0.0	0.30453	0.0	0.10175	0.0	0.06954	0.00639	0.0	0.0007599999999999999	0.5462600000000001	0.6188	0.0	0.48002	0.00075	0.01144	0.00793	0.0	0.0	0.0	0.0	0.014230000000000001	0.013130000000000001	0.022340000000000002	0.00878	0.02543	0.00992	0.00238	0.00243	0.00054	0.00214	0.00016999999999999999	0.0	0.0122	0.09287999999999999	0.0	0.0016
