EC	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
Alcohol dehydrogenase (1.1.1.1)	0.000862003	0.00103872	0.000954422	0.000396763	0.000832128	6.58481e-05	0.00061263	0.000172948	0.000546376	0.00160537	0.0024138	6.29602e-05	0.0003279	9.49203e-05	0.000643126	0.000509386	0.000291987	0.000149876	0.000156632	0.000299361	7.42765e-05	0.000210674	0.000106521	0.000355574	0.000601987	0.00050758	8.23849e-05	0.00073781	0.000508362	0.000226875	5.84611e-05	0.000519881	8.79891e-05	0.000391243	0.000664666	0.000457513	0.00220647	0.000605408
3-oxoacyl-[acyl-carrier-protein] reductase (1.1.1.100)	0.00198347	0.00263301	0.000773169	0.0021156	0.00173259	0.00164686	0.00180749	0.00179687	0.00135422	0.00232616	0.00245731	0.00256222	0.000724192	0.00033285	0.00303751	0.00197246	0.00147108	0.000267099	0.000662254	0.000706024	0.00134733	0.00137631	0.000208203	0.00181048	0.00135537	0.0020411	0.00132749	0.00234896	0.00232575	0.000629159	0.00200333	0.00128644	0.00243076	0.00159319	0.00152574	0.0024777	0.00229433	0.00210351
L-threonine 3-dehydrogenase (1.1.1.103)	0.000991714	0.000942465	0.000433587	0.000816124	0.00115154	0.00094858	0.000331378	0.000593748	0.000519932	0.000820148	0.00131406	0.00062192	0.000114263	5.47057e-05	0.00118569	0.00069957	0.000301935	3.95312e-05	0	0.000118743	0.000887485	0.000388453	2.89981e-05	0.000405783	0.000212126	0.0003977	0.00035035	0.000783403	0.000430331	9.39606e-05	0.00122824	0.000267363	0.00080703	0.000499552	0.000138843	0.000711228	0.000960618	3.73688e-05
D-threo-aldose 1-dehydrogenase (1.1.1.122)	0.000465123	8.36133e-05	0.00114024	0.000577891	0.00111902	0.000695603	0.000469468	0.000447508	0.000551661	2.62999e-06	0.000116624	0.00105934	8.17512e-05	0.000262118	0.000896217	0.000804074	0.000405319	4.75077e-05	5.8129e-05	0.000175662	0.000982027	0.00106341	0	0.000865981	0.00134837	0.000459572	0.000669941	0.00021826	0.000525368	0.000166668	0.00125593	0.000712931	0.000655683	0.000709369	0.000209008	0.000294816	0.000120567	0.000845683
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (1.1.1.127)	0.000302155	0.00013878	0.000314667	0.000137561	0.000280236	7.79631e-06	8.22623e-05	0.000101064	2.72059e-05	0.00035442	0.00106173	0	2.29076e-05	0	0.00012826	0.000117519	7.44454e-05	0	0	3.88239e-06	0	1.27414e-05	0	4.70621e-05	3.44329e-05	3.07234e-05	3.77276e-05	0.000344993	3.0064e-05	0	0	0.000175781	0	0	1.71226e-05	3.67952e-05	0.000709948	5.05283e-05
3-dehydro-L-gulonate 2-dehydrogenase (1.1.1.130)	0.000181501	7.26052e-05	0.000193135	8.17102e-05	0.000164517	0	0	0	2.31691e-05	0.000107547	0.00066744	0	3.14743e-05	0	5.32799e-05	7.72102e-05	0	0	0	0	0	0	0	0	0	0	0	0.000219863	1.80284e-05	0	0	0.00010175	0	2.11315e-05	1.3798e-05	0	0.000313447	0
Mannuronate reductase (1.1.1.131)	0.000567046	0.000232375	0.00142143	0.000567915	0.00111374	0.000836324	0.000622887	0.000718307	0.000684902	1.33594e-05	5.44701e-05	0.000948359	0.000150714	0.000469199	0.00091509	0.000804031	0.000455222	5.34922e-05	0.000149189	0.000274127	0.00109224	0.00125817	3.75181e-05	0.00100575	0.00124078	0.000602132	0.000686954	0.000719941	0.00100043	0.00025104	0.00130321	0.000919821	0.000825482	0.000787268	0.000297797	0.000396565	4.90287e-05	0.000938813
GDP-mannose 6-dehydrogenase (1.1.1.132)	4.566e-05	2.17697e-05	4.53441e-05	4.13853e-05	3.19849e-05	0.000270179	0.000146727	0	0	3.12236e-05	6.17065e-05	0.000149818	2.1179e-05	8.98579e-05	1.24599e-05	1.41372e-05	0.000118876	0	1.22788e-05	1.83315e-05	0	3.46043e-05	0	0	0	1.13513e-05	0.000136621	8.68021e-05	1.08432e-05	0.000151626	0	5.7234e-05	3.223e-05	9.54557e-05	0	3.03109e-05	0.00011701	0
dTDP-4-dehydrorhamnose reductase (1.1.1.133)	0.00196907	0.00226023	0.00131324	0.00295883	0.0020871	0.00257889	0.00225082	0.00261439	0.00284085	0.00255523	0.00103234	0.00236083	0.00232141	0.00284955	0.00325216	0.00326844	0.00251691	0.00239991	0.0025592	0.00244891	0.00234877	0.00224835	0.00193511	0.00293415	0.00284891	0.00227412	0.00490174	0.00238248	0.00273641	0.00385203	0.00337951	0.00239182	0.00274335	0.00295465	0.00245413	0.00279848	0.000995774	0.00275675
UDP-N-acetylglucosamine 6-dehydrogenase (1.1.1.136)	7.32153e-05	3.25746e-05	5.72417e-05	0.000378481	2.3566e-05	0	3.36617e-05	0.000113344	0	0	0	0.000506915	0	0	0	0.000402693	0	0	0	0	9.93256e-05	0.000134012	0	0.000220049	3.17706e-05	0	1.79502e-05	0.00011054	0	1.10668e-05	0.000268704	0.000168963	0	0.000425914	1.2765e-05	0.00015802	0	0
L-iditol 2-dehydrogenase (1.1.1.14)	0.000654205	0.00138113	0.000272547	0.000549372	0.000733908	0.000694008	0.000777231	0.00051147	0.000989714	0.000989757	0.00110515	0.000380728	0.000162071	9.38784e-05	0.00031325	0.00072343	0.000443954	8.69325e-05	0.000144647	0.000157289	0.000576801	0.000448591	0.000130094	0.000215538	0.00029301	0.000902062	0.000213557	0.000378304	0.000772929	0.000186711	0.000682423	0.000586199	0.000745806	0.000323982	0.000456173	0.000668997	0.00111761	0.000650305
Sorbitol-6-phosphate 2-dehydrogenase (1.1.1.140)	0.000155233	0.000217795	0.000128648	0.000157012	0.000185152	0	1.55632e-05	1.97322e-05	9.29277e-05	0.000135847	0.000868894	0	2.84104e-05	0	3.38153e-05	0.000138633	0	0	0	2.64617e-05	0	0	0	0	0	4.10228e-05	0	0.000196788	3.26815e-05	0	1.05313e-05	0.000168502	0	0	0	0	0.000397201	2.32618e-05
Ureidoglycolate dehydrogenase (1.1.1.154)	0.000113954	6.33349e-05	0.000163357	1.84301e-05	0.000181376	0	0	0	0	0.000187838	0.000382341	0	7.01697e-06	0	6.45552e-05	0.000108767	0	0	0	0	0	0	0	0	0	6.92406e-06	0	0.000106519	0	0	0	0.000148533	0	0	0	0	0.000177608	2.43861e-05
3-hydroxybutyryl-CoA dehydrogenase (1.1.1.157)	0.000133669	0.000383438	0.000100348	0.000155269	7.23559e-05	0	0.000221947	6.95763e-05	0.000232605	0.000563702	0.000335803	8.73839e-05	1.43136e-05	1.38982e-05	0.000242254	0.000125771	8.94835e-05	2.17609e-05	3.66437e-05	3.85522e-05	2.08707e-05	8.359e-05	3.93273e-05	7.44851e-05	7.87171e-05	0.000103677	0	0.000177023	0.000186567	3.87875e-05	0	2.40469e-05	2.23141e-05	1.74673e-05	0.000133956	8.95916e-05	0.000315361	0.000157297
7-alpha-hydroxysteroid dehydrogenase (1.1.1.159)	0.000147891	3.81078e-05	0.000127258	0	0.000222443	4.48441e-05	4.1956e-05	0	0.000243039	3.27326e-05	0.000264912	0	5.37329e-05	0	7.34987e-05	0.000464257	0	0	1.60375e-05	0	0	1.34301e-05	0	1.78563e-05	1.154e-05	9.94265e-06	0	0.000130145	0.000242811	9.52241e-05	0	1.65646e-05	0.000517156	0	0	0.00013121	0.000180082	0
2-dehydropantoate 2-reductase (1.1.1.169)	0.00156329	0.00130999	0.0018437	0.0016393	0.0017059	0.0014507	0.00152886	0.00188897	0.00154743	0.000772529	0.000837162	0.00148209	0.000467742	0.000706172	0.0014858	0.00136259	0.000856293	0.000337143	0.000215303	0.000415929	0.00184024	0.00172207	4.55126e-05	0.00152579	0.00151357	0.00146347	0.00119244	0.00136325	0.00146821	0.000442239	0.00168753	0.00146182	0.00160893	0.00141113	0.00175008	0.00144629	0.000803567	0.00128192
Mannitol-1-phosphate 5-dehydrogenase (1.1.1.17)	0.000286201	0.000264967	0.000212267	0.000130772	0.000336676	0	5.22284e-05	0	0.000226097	0.000113711	0.000719002	0	1.67996e-05	0	0.000131698	0.000101806	3.76075e-05	0	7.63859e-05	0	0	0	0	6.16611e-05	4.13358e-05	0.000172139	0	0.000442959	5.32968e-05	0	8.57525e-06	0.00012173	2.09988e-05	3.97473e-05	0.000226594	5.42971e-05	0.00072925	9.79844e-05
Inositol 2-dehydrogenase (1.1.1.18)	0.00102141	0.000415546	2.05555e-05	0.00185401	0.0012261	0.00168858	0.000423709	0.000871401	0.000106132	0.000285183	0.000143329	0.00161464	0.000192801	0.000185382	0.00186382	0.00112354	0.000392278	6.99039e-05	0.000169705	0.0001958	0.00121214	0.000825124	2.01723e-05	0.00073508	0.00076843	0.000688687	0.000766303	0.000392763	0.000665227	0.000317632	0.00189316	0.000370396	0.00121175	0.000689329	0.000130411	0.000844702	0.000299582	8.03553e-05
5-amino-6-(5-phosphoribosylamino)uracil reductase (1.1.1.193)	0.00128609	0.00141179	0.00139457	0.00125136	0.00148054	0.00159594	0.00154262	0.00192334	0.00148573	0.000537002	0.000684865	0.00171188	0.00205815	0.00248206	0.00129189	0.00130447	0.00199163	0.00232938	0.00222859	0.0018497	0.00167207	0.00160691	0.00291728	0.00168542	0.00154545	0.00133804	0.00182599	0.00151007	0.00168473	0.00218092	0.0015767	0.00186609	0.00154159	0.0014853	0.00114198	0.00140264	0.000548497	0.00126576
