	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
1CMET2-PWY: folate transformations III (E. coli)	0.00721041	0.00840811	0.00785685	0.00655502	0.00697571	0.0101383	0.00928204	0.0108021	0.0100002	0.00637406	0.00508635	0.00914497	0.00749785	0.00883402	0.00900393	0.00784198	0.00939875	0.00612045	0.00549244	0.00893119	0.0110729	0.0107042	0.003994	0.00976817	0.0110288	0.00839162	0.011485	0.0073933	0.0102965	0.007957	0.0107106	0.00787924	0.0103392	0.0110027	0.0114678	0.00809519	0.00544878	0.00990798
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.00039928	7.92991e-05	0.000395454	0.000166249	0.000174891	0.0	0.0	0.0	0.0	0.000177186	0.0	0.0	0.0	0.0	0.000218758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.64764e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000553817	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.0	0.000157416	0.0	0.000103867	0.0	0.0	0.0	0.000137547	0.000204401	8.77103e-05	0.000233459	0.0	0.000102396	0.0	0.0	5.88899e-05	0.0	0.0	0.0	0.0	0.0	0.000214932	0.0	4.33153e-05	0.000149268	0.000333553	0.0	0.00020738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000896779	0.0
ANAEROFRUCAT-PWY: homolactic fermentation	0.00413776	0.00532902	0.00315359	0.00511217	0.00347468	0.00146315	0.00522001	0.00469151	0.00367908	0.00461104	0.00474023	0.00374872	0.00331318	0.00163205	0.00380319	0.00447404	0.00285134	0.00132245	0.00220131	0.00386262	0.00248766	0.0031373	0.00194742	0.00351802	0.0029973	0.00479051	0.00303203	0.00317259	0.00387412	0.00272932	0.00342942	0.00370565	0.00558775	0.00488687	0.00423553	0.00566318	0.00542914	0.00379795
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00776346	0.00896309	0.00669381	0.00756263	0.00663367	0.0110844	0.0103711	0.0110104	0.00939227	0.00850536	0.00628913	0.00976028	0.0144129	0.0170969	0.00879348	0.00845849	0.0100479	0.0138503	0.0140606	0.00841087	0.00958974	0.0095003	0.0207116	0.00934016	0.011687	0.00968673	0.00900997	0.00714767	0.0100713	0.0163853	0.010006	0.00915091	0.0123136	0.00985904	0.0121785	0.0106461	0.00672619	0.0106128
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00277372	0.00204503	0.00218861	0.00195738	0.00202303	0.0	0.00230439	0.000886313	0.0	0.00364328	0.00348912	0.000225746	0.000990064	0.0	0.00135257	0.00190331	0.000966366	0.0	0.0	0.000630235	0.000264339	0.000636734	0.000527714	0.000570079	0.00123553	0.00175219	0.0	0.00217131	0.000316892	0.0	0.0	0.00197387	0.000352389	0.000596905	0.00123038	0.0	0.00424824	0.000712721
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.000481906	0.0	0.000401847	0.0	0.000384801	0.0	0.0	0.0	0.0	0.000653791	9.7371e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000153484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000323136	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00560885	0.00167868	0.00710172	0.00493235	0.0064546	0.00933927	0.00539312	0.00961535	0.00573377	0.000265091	0.00228573	0.00854757	0.00199963	0.00561052	0.00660798	0.00772287	0.00541426	0.00300156	0.00177782	0.00245936	0.0102256	0.00791577	0.000469914	0.00722602	0.007891	0.00519275	0.00863174	0.00400427	0.00754702	0.00375151	0.0102206	0.00595897	0.00936067	0.00812824	0.00483679	0.00663688	0.00182512	0.00643077
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00366519	0.00920401	0.00265912	0.00480613	0.00275035	0.00227576	0.0069652	0.003379	0.00635715	0.00721029	0.00471436	0.00280775	0.00309975	0.0012515	0.00255209	0.0033471	0.00404138	0.00409561	0.00227093	0.00352651	0.00154843	0.00405132	0.0024406	0.00509686	0.00431501	0.00652677	0.00106404	0.00416698	0.00495315	0.00174254	0.00116049	0.00325056	0.00332452	0.0031297	0.00879877	0.00593587	0.00647063	0.00795566
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00340857	0.00957524	0.00249444	0.00447667	0.00255555	0.00119487	0.00663301	0.00256028	0.00626159	0.00753356	0.00462289	0.00235281	0.00254164	0.000965022	0.0022548	0.00272215	0.00367411	0.0032899	0.00175779	0.00266376	0.00104532	0.00383867	0.00196138	0.00470712	0.0038822	0.00631363	0.000964547	0.00410223	0.00453888	0.00142719	0.000862606	0.00307586	0.00283062	0.00259991	0.00909811	0.00543172	0.00659466	0.00796184
