	A063	A060	A056	A052	A045	A042	A040	A036	A035	A033	A025	A024	A020	A016	A011	A008	A007	A062	A061	A057	A051	A050	A047	A044	A041	A032	A031	A030	A028	A026	A022	A018	A015	A014	A012	A006	A004	A002
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.0	0.0	0.0	0.0	0.0	0.0	0.5139	0.0	0.0	0.08377000000000001	0.25811999999999996	0.06412999999999999	0.0	0.21758000000000002	0.0	1.14727	0.0	4.04518	3.53146	0.16296	0.0	0.0	0.0	0.0	0.0	0.0	0.10787000000000001	0.031439999999999996	0.0	0.9752799999999999	0.0	0.1777	0.11622	0.0	0.0	0.0	0.0	0.17278
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.0	0.0	0.0	0.0	0.04689	0.0	0.0	0.0	0.0	0.0	0.52777	0.01047	0.0	0.0	0.6116199999999999	0.96615	0.0	0.43563	0.0	0.10112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09892999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07746
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11547	0.0	0.0	0.0	0.0	0.73332	1.3038100000000001	0.0	0.0	0.0	0.00561	0.0	0.0	0.0	0.0	0.0	0.0	0.0336	0.0	0.0	0.0	0.0	0.0	0.0	0.008490000000000001	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0	0.0	0.0	0.0	0.0	0.0	0.07852999999999999	0.0	1.2080899999999999	0.05637	0.31564000000000003	0.0	0.0	0.45205	0.18145999999999998	1.37659	0.00103	0.54657	6.20025	0.06325	0.0	0.0	0.0	0.0	0.0	0.006999999999999999	0.07952000000000001	0.10372	0.0	0.63151	0.03537	0.0	0.05255	0.03429	0.22141	0.0	0.0	0.01766
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09976	0.0	0.0	0.0	0.24838000000000002	0.01581	0.0	0.0	0.56048	0.04657	0.00889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23775	0.0	0.0	0.0	0.00394	0.46931999999999996	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.0	0.0	0.0	0.01356	0.11947	0.0	0.73485	0.0	0.0	0.13155999999999998	0.24006999999999998	0.09695	0.0	0.09912	0.0	1.7393299999999998	0.01122	0.42605	0.0	0.06573999999999999	0.04413	0.0	0.0	0.13907	0.0	0.02216	0.11494000000000001	0.00322	0.0	0.20669	0.0	0.0	0.0068	0.029289999999999997	0.09759	0.0385	0.0	0.04639
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia	0.0	0.0	0.0	0.0	0.0	0.0	0.07697000000000001	0.0	0.0	0.0	0.00352	0.0	0.0	0.0	0.0	0.15963	0.0	0.0	0.01335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026439999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004520000000000001	0.0	0.00877	0.0	0.0	0.0	0.0	0.03282	0.0	0.0	0.0	0.0	0.0	0.02044	0.0	0.0	0.0	0.0	0.0428	0.0	0.0	0.016319999999999998	0.0	0.0	0.0	0.03146	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium	0.03277	0.0	0.0	0.0	0.0	0.0	0.03245	0.0	0.0	0.0	0.05074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.0	0.10323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02099
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.835	0.0	0.0	0.0	1.02902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20269	0.0	0.10340999999999999
