Gene	Ensembl_Gene_ID	Gene_type
1-Mar	ENSG00000186205.12	protein_coding
1-Mar	ENSG00000145416.13	protein_coding
2-Mar	ENSG00000117791.15	protein_coding
2-Mar	ENSG00000099785.10	protein_coding
3-Mar	ENSG00000173926.5	protein_coding
4-Mar	ENSG00000144583.4	protein_coding
5-Mar	ENSG00000198060.9	protein_coding
6-Mar	ENSG00000145495.14	protein_coding
7-Mar	ENSG00000136536.14	protein_coding
8-Mar	ENSG00000165406.15	protein_coding
9-Mar	ENSG00000139266.5	protein_coding
10-Mar	ENSG00000173838.11	protein_coding
11-Mar	ENSG00000183654.8	protein_coding
1-Sep	ENSG00000180096.11	protein_coding
2-Sep	ENSG00000168385.17	protein_coding
3-Sep	ENSG00000100167.19	protein_coding
4-Sep	ENSG00000108387.14	protein_coding
5-Sep	ENSG00000184702.17	protein_coding
6-Sep	ENSG00000125354.22	protein_coding
7-Sep	ENSG00000122545.18	protein_coding
8-Sep	ENSG00000164402.13	protein_coding
9-Sep	ENSG00000184640.17	protein_coding
10-Sep	ENSG00000186522.14	protein_coding
11-Sep	ENSG00000138758.11	protein_coding
12-Sep	ENSG00000140623.13	protein_coding
14-Sep	ENSG00000154997.8	protein_coding
15-Sep	ENSG00000183291.15	protein_coding
1-Dec	ENSG00000173077.14	protein_coding
A1BG	ENSG00000121410.11	protein_coding
A1CF	ENSG00000148584.14	protein_coding
A2M	ENSG00000175899.14	protein_coding
A2ML1	ENSG00000166535.19	protein_coding
A3GALT2	ENSG00000184389.9	protein_coding
A4GALT	ENSG00000128274.15	protein_coding
A4GNT	ENSG00000118017.3	protein_coding
AAAS	ENSG00000094914.12	protein_coding
AACS	ENSG00000081760.16	protein_coding
AADAC	ENSG00000114771.13	protein_coding
AADACL2	ENSG00000197953.5	protein_coding
AADACL3	ENSG00000188984.11	protein_coding
AADACL4	ENSG00000204518.2	protein_coding
AADAT	ENSG00000109576.13	protein_coding
AAED1	ENSG00000158122.11	protein_coding
AAGAB	ENSG00000103591.12	protein_coding
AAK1	ENSG00000115977.18	protein_coding
AAMDC	ENSG00000087884.14	protein_coding
AAMP	ENSG00000127837.9	protein_coding
AANAT	ENSG00000129673.9	protein_coding
AAR2	ENSG00000131043.11	protein_coding
AARD	ENSG00000205002.3	protein_coding
AARS	ENSG00000090861.15	protein_coding
AARS2	ENSG00000124608.4	protein_coding
AARSD1	ENSG00000266967.6	protein_coding
AASDH	ENSG00000157426.13	protein_coding
AASDHPPT	ENSG00000149313.10	protein_coding
AASS	ENSG00000008311.14	protein_coding
AATF	ENSG00000275700.4	protein_coding
AATK	ENSG00000181409.11	protein_coding
ABAT	ENSG00000183044.11	protein_coding
ABC7-42404400C24.1	ENSG00000277758.4	protein_coding
ABCA1	ENSG00000165029.15	protein_coding
ABCA10	ENSG00000154263.17	protein_coding
ABCA12	ENSG00000144452.14	protein_coding
ABCA13	ENSG00000179869.14	protein_coding
ABCA2	ENSG00000107331.16	protein_coding
ABCA3	ENSG00000167972.13	protein_coding
ABCA4	ENSG00000198691.11	protein_coding
ABCA5	ENSG00000154265.15	protein_coding
ABCA6	ENSG00000154262.12	protein_coding
ABCA7	ENSG00000064687.12	protein_coding
